Country,Library,LC Class,1 Holding,2 Holdings,3 Holdings,4 Holdings,5 Holdings,6 Holdings,7 Holdings,8 Holdings,9 Holdings,10 Holdings,11 Holdings,12 Holdings,13 Holdings,14 Holdings,15 Holdings
Argentina,CGU,E,9,5,6,4,6,2,1,1,1,0,0,0,0,0,0
Argentina,CGU,F,601,437,432,326,238,183,63,27,14,11,3,2,0,0,0
Argentina,CGU,G,62,30,31,19,12,5,4,0,0,1,0,0,0,0,0
Argentina,CGU,H,615,380,344,260,220,153,63,28,14,7,4,0,0,0,0
Argentina,CGU,J,121,73,64,64,58,35,12,3,2,2,0,0,0,0,0
Argentina,CGU,K,49,22,11,9,5,5,1,0,0,0,0,0,0,0,0
Argentina,CGU,L,72,57,39,20,5,1,4,1,0,0,0,0,0,0,0
Argentina,CGU,M,26,14,9,7,3,3,5,2,0,0,0,0,0,0,0
Argentina,CGU,N,382,84,24,13,10,3,3,3,0,1,0,0,0,0,0
Argentina,CGU,P,737,537,432,370,343,281,193,165,101,76,44,20,14,2,1
Argentina,CGU,Q,35,11,11,7,3,3,1,0,0,0,0,0,0,0,0
Argentina,CGU,R,29,15,12,7,2,1,1,1,0,0,0,0,0,0,0
Argentina,CGU,S,9,7,3,4,0,1,1,0,0,0,0,0,0,0,0
Argentina,CGU,T,78,19,15,8,4,3,1,1,1,0,0,0,0,0,0
Argentina,CGU,U,17,4,9,3,3,0,1,0,0,0,0,0,0,0,0
Argentina,CGU,V,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,CGU,Z,12,9,5,7,8,4,2,2,1,2,0,1,0,0,0
Argentina,UIU,A,0,1,4,0,0,1,2,0,1,0,0,0,0,0,0
Argentina,UIU,B,17,24,20,33,21,14,4,3,0,0,0,0,0,0,0
Argentina,UIU,C,9,7,6,1,1,1,0,2,0,0,0,0,0,0,0
Argentina,UIU,D,6,14,9,11,2,5,5,1,0,0,0,0,0,0,0
Argentina,UIU,E,3,2,5,3,6,3,1,1,1,0,0,0,0,0,0
Argentina,UIU,F,70,236,337,294,233,181,61,28,15,10,3,2,0,0,0
Argentina,UIU,G,63,20,24,19,12,5,4,0,0,1,0,0,0,0,0
Argentina,UIU,H,60,185,265,229,206,152,57,29,14,7,3,0,0,0,0
Argentina,UIU,J,12,37,47,54,58,35,11,3,2,2,0,0,0,0,0
Argentina,UIU,K,8,11,9,7,6,5,1,0,0,0,0,0,0,0,0
Argentina,UIU,L,7,37,36,21,5,1,4,1,0,0,0,0,0,0,0
Argentina,UIU,M,55,27,10,6,3,3,6,2,0,0,0,0,0,0,0
Argentina,UIU,N,69,59,21,14,12,3,3,3,0,1,0,0,0,0,0
Argentina,UIU,P,246,435,430,401,386,278,199,162,99,76,45,20,14,2,1
Argentina,UIU,Q,6,7,8,7,3,3,1,0,0,0,0,0,0,0,0
Argentina,UIU,R,4,9,8,6,3,1,1,1,0,0,0,0,0,0,0
Argentina,UIU,S,1,5,3,4,0,1,1,0,0,0,0,0,0,0,0
Argentina,UIU,T,8,17,9,6,4,2,0,1,1,0,0,0,0,0,0
Argentina,UIU,U,3,3,6,3,3,0,1,0,0,0,0,0,0,0,0
Argentina,UIU,V,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,UIU,Z,4,4,4,9,7,4,2,2,1,2,0,1,0,0,0
Argentina,NUI,A,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
Argentina,NUI,B,10,1,1,3,1,3,0,0,0,0,0,0,0,0,0
Argentina,NUI,C,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0
Argentina,NUI,D,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Argentina,NUI,E,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0
Argentina,NUI,F,26,22,17,21,18,13,13,15,8,10,3,2,0,0,0
Argentina,NUI,G,12,2,0,1,3,2,3,0,0,1,0,0,0,0,0
Argentina,NUI,H,30,24,17,20,18,7,8,8,7,4,4,0,0,0,0
Argentina,NUI,J,4,3,3,5,2,1,0,0,0,1,0,0,0,0,0
Argentina,NUI,K,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0
Argentina,NUI,L,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0
Argentina,NUI,M,8,3,1,3,0,1,3,2,0,0,0,0,0,0,0
